4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
25,25,30,25,24,24,47,31,32,34,32,25,24,24,24,24,24,24,25,25,25,24,25,24,24,24,24,24,25,24,
88,87,87,88,88,87,88,87,87,88,88,88,88,88,88,88,88,104,107,87,88,88,88,88,88,87,88,87,87,88,
332,327,323,345,325,323,328,323,335,324,324,324,327,325,328,328,392,405,335,343,366,340,352,330,330,325,347,325,344,323,
1297,1277,1249,1284,1139,1109,1049,773,769,769,775,886,857,603,624,599,621,588,599,589,592,476,474,474,474,473,491,476,476,475,
1702,1599,1560,1501,1377,1373,1343,1213,1181,1177,1181,1175,1146,1180,1147,1143,1144,1161,1204,1146,1150,1143,1144,1143,1146,1143,1143,1172,1150,1146,
4636,4553,4574,4552,4572,4547,4551,4484,4596,4448,4453,4243,4357,4415,4147,4082,4022,3994,4093,4172,3983,3903,4010,4326,4074,4001,4084,4361,3974,3923,
16635,16072,16194,15976,16107,16281,16279,16146,16038,16193,16155,16542,16185,16769,18260,18250,18259,20324,19156,18430,18153,18152,17980,17332,16716,16957,16110,16273,16334,16006,
63761,64397,64303,71176,66587,64020,64372,65606,65762,64720,64422,64393,64739,63836,63818,63876,64349,64805,64530,63946,63705,63954,63779,64223,63974,64052,73365,86475,71038,64218,
256671,252659,252424,253825,253341,252298,269983,261826,257172,255914,255441,255199,256397,260211,276932,258686,260064,257893,258028,256057,256438,254997,276360,258598,258612,259680,260173,260554,259367,269548,
1040283,1052538,1028982,1068679,1074560,1078386,1123446,1132734,1128080,1135704,1089152,1116855,1109683,1094031,1110409,1121158,1121434,1102698,1119795,1080338,1143534,1127415,1123343,1251472,1102733,1135564,1133208,1139407,1115147,1141085,
