4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,
7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
15,14,15,14,15,14,15,14,15,15,15,14,14,15,14,14,15,14,15,15,15,14,14,14,15,14,14,15,15,14,
29,29,29,46,29,29,75,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
62,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,
118,114,113,114,113,113,113,113,113,114,113,113,123,113,114,113,113,113,113,113,113,113,113,113,113,113,113,120,101,101,
208,201,201,201,201,201,201,201,201,212,201,201,201,201,201,201,201,201,201,201,202,213,203,203,202,202,250,202,225,207,
424,406,403,407,407,404,208,147,146,145,145,145,154,139,146,139,140,139,139,139,139,139,139,139,139,139,151,134,135,134,
295,271,272,276,274,273,283,277,274,272,271,271,271,274,272,273,279,294,285,288,366,269,278,253,258,259,252,254,256,267,
542,534,495,478,499,503,483,466,466,480,482,477,492,450,450,450,464,436,436,441,436,436,436,437,437,437,436,436,436,650,
926,905,942,904,913,902,903,914,910,939,944,994,907,900,912,874,927,875,875,877,881,892,902,897,889,881,874,874,874,880,
1805,1777,1781,1773,1784,1786,1776,1796,1777,1772,1772,1781,1773,1790,1785,1796,1772,1737,1673,1673,1676,1652,1630,1629,1640,1632,1628,1631,1628,1635,
3255,3305,3319,3283,3136,3113,3115,3121,3119,3117,3114,3135,3167,3136,3666,6010,5145,3582,3471,3488,3376,3401,3381,3378,3312,3285,3287,3285,3273,3115,
6519,7143,6921,7195,7024,6886,6858,6787,6718,6631,6708,6657,6908,6615,6536,6572,6611,6605,6618,6663,6976,6926,6843,6799,6688,6797,6820,6860,6796,6772,
13470,14142,14230,13862,19355,14924,14100,14493,14082,13911,13742,14734,13853,14648,13844,13820,13571,13543,13808,13732,13596,13347,13422,14242,13841,13837,13594,13394,13549,14068,
27580,27652,27305,28374,27685,27951,27870,27662,27727,27191,28403,29404,27983,28622,27940,27655,27325,27072,27287,29865,29632,30336,29859,29210,28780,31929,32654,32584,29979,29631,
60600,56513,58161,56201,55358,54997,58039,57986,58268,59040,58078,58503,57128,55799,57011,55925,56313,56581,56176,56593,55324,55629,57332,56228,55467,55965,54338,53638,53979,55310,
109504,120529,111504,108043,108346,111215,110060,108803,111627,107858,108409,108306,107774,107336,107219,107175,108451,113338,107642,107042,107190,106201,106448,105893,106852,109814,108157,107290,106709,106203,
213546,212139,214996,212995,222468,213580,213840,216981,213966,211985,212660,215316,214646,217316,213408,213406,218074,213002,213675,212665,212581,217145,212001,213719,213419,212426,215425,215021,213625,213809,
427871,436016,442252,448992,439354,439313,433121,444251,440237,443551,438600,460947,453480,454395,458761,464922,456935,443511,456002,451485,458803,462455,461655,453463,457477,468580,468466,458671,462715,472590,
